,OBJECTID,UNITID,AGENCY,FIRENAME,FIRENUM,ACRES,YEAR,CAUSE,SHAPEAREA,SHAPELEN,nearestStation,start,end,max_temperature,min_temperature,avg_temperature,departure_temperature,hdd,cdd,percipitation
248,249,WASES,WA DNR - SE REGION,TAYLOR BRIDGE,064,23501.08189576,2012,MISCELLANEOUS,1023703032.55473,290684.11338272097,"(-121.333333, 47.283333)",2012-08-13,2012-08-22 00:00:00,73.1,53.3,63.2,63.2,3.8,2.3,0.0
249,250,WAYAA,BIA - YAKIMA,DIAMOND BUTTE,108,284.42605119,2012,UNKNOWN,12389549.2315215,25796.444764074204,"(-121.67333064, 46.602330924)",2012-08-19,2012-08-24 00:00:00,72.0,54.333333333333336,63.166666666666664,63.166666666666664,2.1666666666666665,0.5,0.005
250,251,WASPD,SPOKANE BLM,ROOSEVELT,119,2826.61213127,2012,MISCELLANEOUS,123126731.929677,61801.235175737405,"(-121.67333064, 46.602330924)",2012-07-03,2012-07-06 00:00:00,71.5,45.25,58.375,58.375,6.25,0.0,0.08750000000000001
251,252,ORWWF,WALLOWA-WHITMAN NF,CACHE CREEK,742,73694.73896911,2012,UNKNOWN,3210129988.93595,464900.46058634104,"(-121.333333, 47.283333)",2012-08-21,2012-09-04 00:00:00,61.2,43.53333333333333,52.36666666666667,52.36666666666667,12.4,0.0,0.014
252,253,WASES,WA DNR - SE REGION,HIGHWAY 141,430,1635.84274497,2012,UNKNOWN,71257024.9419595,62677.321660876,"(-121.67333064, 46.602330924)",2012-09-05,2012-09-09 00:00:00,82.0,46.8,64.4,64.4,1.4,1.0,0.032
253,254,WACOA,COLVILLE AGENCY,MANILA CREEK,176,200.75702243,2012,LIGHTNING,8744940.9170255,14841.728188655401,"(-121.067222, 48.732778)",2012-09-09,2012-09-10 00:00:00,80.5,52.0,66.25,66.25,3.5,5.0,0.07
254,255,WACOA,COLVILLE AGENCY,TOP OF PETER DAN CREEK,174,20.24074146,2012,LIGHTNING,881683.171093,4428.217462086421,"(-121.067222, 48.732778)",2012-09-08,2012-09-11 00:00:00,76.25,51.0,63.625,63.625,5.0,4.0,0.04
255,256,WACOA,COLVILLE AGENCY,TIMM BROTHERS,182,1358.68394334,2012,MISCELLANEOUS,59184035.835011,45215.9301419692,"(-121.067222, 48.732778)",2012-09-09,2012-09-11 00:00:00,73.33333333333333,49.333333333333336,61.333333333333336,61.333333333333336,6.666666666666667,3.3333333333333335,0.05333333333333334
256,257,WACOA,COLVILLE AGENCY,JIM CREEK #3,171,26.1523987,2012,LIGHTNING,1139193.930466,4997.67818323016,"(-121.067222, 48.732778)",2012-09-08,2012-09-12 00:00:00,74.2,49.6,61.9,61.9,6.0,3.2,0.032
257,258,WAWFS,WA FIRE SERVICE,LEAHY JUNCTION,308,72425.92991647,2012,LIGHTNING,3154860887.67987,403190.247927899,"(-121.067222, 48.732778)",2012-09-10,2012-09-13 00:00:00,66.5,44.75,55.625,55.625,9.0,0.0,0.04
258,259,WASPD,SPOKANE BLM,BARKER CANYON,50491,15804.25044832,2012,UNKNOWN,688430395.798926,225110.398254355,"(-121.067222, 48.732778)",2012-09-08,2012-09-13 00:00:00,73.83333333333333,48.833333333333336,61.333333333333336,61.333333333333336,6.0,2.6666666666666665,0.02666666666666667
259,260,WAWFS,WA FIRE SERVICE,APACHE PASS,310,23324.09347551,2012,UNKNOWN,1015993447.80716,321822.590235034,"(-121.067222, 48.732778)",2012-09-09,2012-09-13 00:00:00,71.6,47.4,59.5,59.5,7.2,2.0,0.032
260,261,WAOWF,OKAN-WEN NF,LEECHER,571,1319.70299959,2012,LIGHTNING,57486032.717148,57087.7243234052,"(-121.067222, 48.732778)",2012-09-09,2012-09-17 00:00:00,75.55555555555556,49.22222222222222,62.388888888888886,62.388888888888886,4.0,1.6666666666666667,0.017777777777777778
261,262,WAOWF,OKAN-WEN NF,HUNTER,520,211.42089207,2012,LIGHTNING,9209457.220459,21011.9714433724,"(-121.067222, 48.732778)",2012-09-09,2012-09-17 00:00:00,75.55555555555556,49.22222222222222,62.388888888888886,62.388888888888886,4.0,1.6666666666666667,0.017777777777777778
262,263,WAOWF,OKAN-WEN NF,TRAIL CREEK,539,24.11552485,2012,LIGHTNING,1050468.060521,9433.60621691687,"(-121.333333, 47.283333)",2012-09-09,2012-09-17 00:00:00,63.22222222222222,44.55555555555556,53.888888888888886,53.888888888888886,10.88888888888889,0.0,0.06555555555555555
263,264,WAOWF,OKAN-WEN NF,STAFFORD CREEK,585,33.80616122,2012,LIGHTNING,1472590.492298,8536.32790579069,"(-121.333333, 47.283333)",2012-09-09,2012-09-23 00:00:00,65.13333333333334,46.86666666666667,56.0,56.0,9.533333333333333,0.8,0.03933333333333333
264,265,WAOWF,OKAN-WEN NF,DIAMOND HEAD,596,1055.94721861,2012,UNKNOWN,45996876.854547,107661.21526862701,"(-121.333333, 47.283333)",2012-09-10,2012-09-19 00:00:00,67.2,47.1,57.15,57.15,8.1,0.5,0.044
265,266,WAOWF,OKAN-WEN NF,GOLD CREEK SPRINGS,462,31.51178589,2012,LIGHTNING,1372647.902603,5186.72676838623,"(-121.333333, 47.283333)",2012-09-09,2012-09-19 00:00:00,65.81818181818181,46.81818181818182,56.31818181818182,56.31818181818182,8.909090909090908,0.45454545454545453,0.053636363636363635
266,267,WAOWF,OKAN-WEN NF,OLD BLEWETT PASS,597,22.4092772,2012,LIGHTNING,976144.2101575,7776.123653202871,"(-121.333333, 47.283333)",2012-09-10,2012-09-19 00:00:00,67.2,47.1,57.15,57.15,8.1,0.5,0.044
267,268,WAOWF,OKAN-WEN NF,MOON BEAM,595,0.30379979,2012,LIGHTNING,13233.465927,729.885636055749,"(-121.333333, 47.283333)",2012-09-10,2012-09-18 00:00:00,66.0,46.0,56.0,56.0,9.0,0.2222222222222222,0.04888888888888889
268,269,WAOWF,OKAN-WEN NF,JACK CREEK PASS,642,7.27095038,2012,UNKNOWN,316721.3316915,3439.6336850288803,"(-121.333333, 47.283333)",2012-09-09,2012-09-18 00:00:00,64.6,45.8,55.2,55.2,9.8,0.2,0.059
269,270,WAOWF,OKAN-WEN NF,BYRD,559,14164.08513399,2012,LIGHTNING,616985080.489141,196347.80080620703,"(-121.333333, 47.283333)",2012-09-09,2012-09-21 00:00:00,67.23076923076923,47.76923076923077,57.5,57.5,8.153846153846153,0.9230769230769231,0.045384615384615384
271,272,WAOWF,OKAN-WEN NF,WILD ROSE,534,1926.29887951,2012,UNKNOWN,83909243.553323,46233.372461922205,"(-121.67333064, 46.602330924)",2012-09-09,2012-09-22 00:00:00,74.21428571428571,45.642857142857146,59.92857142857143,59.92857142857143,4.714285714285714,0.0,0.017142857142857144
272,273,WANES,WA DNR - NE REGION,CHAMOKANE CREEK,137,155.91204468,2007,UNKNOWN,6791501.5,13524.2003055649,"(-121.067222, 48.732778)",2007-07-02,2007-07-02 00:00:00,78.0,52.0,65.0,65.0,0.0,0.0,0.0
273,274,WAOWF,OKAN-WEN NF,BUCKHORN,610,4631.12177558,2012,LIGHTNING,201730857.618294,71123.19214967941,"(-121.067222, 48.732778)",2012-09-09,2012-09-24 00:00:00,75.6875,50.5,63.09375,63.09375,3.4375,1.75,0.01
274,275,WAOWF,OKAN-WEN NF,FRENCH CABIN CREEK,589,42.73913369,2012,LIGHTNING,1861709.2167825,6192.76621205556,"(-121.333333, 47.283333)",2012-09-10,2012-09-24 00:00:00,65.53333333333333,46.93333333333333,56.233333333333334,56.233333333333334,9.266666666666667,0.8,0.029333333333333333
275,276,WAOWF,OKAN-WEN NF,FIRST CREEK,573,1361.00014754,2012,LIGHTNING,59284929.2862555,64596.0447332361,"(-121.067222, 48.732778)",2012-09-09,2012-09-25 00:00:00,75.17647058823529,50.76470588235294,62.970588235294116,62.970588235294116,3.4705882352941178,1.6470588235294117,0.009411764705882354
276,277,WAOWF,OKAN-WEN NF,MAVERICK,612,20.54254177,2012,LIGHTNING,894829.540096,4392.5889028866995,"(-121.333333, 47.283333)",2012-09-11,2012-09-27 00:00:00,66.3529411764706,47.05882352941177,56.705882352941174,56.705882352941174,8.705882352941176,0.7058823529411765,0.0
277,278,WAOWF,OKAN-WEN NF,GOAT,649,7377.6025074,2012,MISCELLANEOUS,321367079.750263,114677.21590158,"(-121.067222, 48.732778)",2012-09-15,2012-09-26 00:00:00,76.0,52.083333333333336,64.04166666666667,64.04166666666667,2.25,1.5,0.0
278,279,WAOWF,OKAN-WEN NF,POISON CANYON,470,5931.40079488,2012,LIGHTNING,258370785.138657,87919.8133590553,"(-121.333333, 47.283333)",2012-09-08,2012-09-29 00:00:00,64.77272727272727,46.59090909090909,55.68181818181818,55.68181818181818,9.590909090909092,0.5454545454545454,0.028181818181818183
279,280,WAOWF,OKAN-WEN NF,CANYON,559,7557.52421717,2012,LIGHTNING,329204438.078341,114918.867087571,"(-121.333333, 47.283333)",2012-09-09,2012-09-29 00:00:00,64.28571428571429,46.333333333333336,55.30952380952381,55.30952380952381,10.0,0.5714285714285714,0.028095238095238093
280,281,WAOWF,OKAN-WEN NF,WHITE PINE,655,60.85919638,2012,LIGHTNING,2651015.9903935,7027.35841279747,"(-121.333333, 47.283333)",2012-09-11,2012-09-30 00:00:00,65.6,46.55,56.075,56.075,9.25,0.6,0.0
281,282,WAOWF,OKAN-WEN NF,CASHMERE,548,2791.69448074,2012,UNKNOWN,121605725.156531,90124.35768495251,"(-121.333333, 47.283333)",2012-09-09,2012-10-06 00:00:00,62.0,43.964285714285715,52.982142857142854,52.982142857142854,12.178571428571429,0.42857142857142855,0.02142857142857143
282,283,WAOWF,OKAN-WEN NF,PYRAMID,510,1906.12772526,2012,LIGHTNING,83030591.5889365,44616.627674530304,"(-121.067222, 48.732778)",2012-09-09,2012-10-06 00:00:00,72.35714285714286,48.92857142857143,60.642857142857146,60.642857142857146,5.178571428571429,1.0,0.0071428571428571435
283,284,WAOWF,OKAN-WEN NF,KLONE PEAK,507,1506.49192302,2012,LIGHTNING,65622525.6759455,50631.2109520928,"(-121.067222, 48.732778)",2012-09-09,2012-10-06 00:00:00,72.35714285714286,48.92857142857143,60.642857142857146,60.642857142857146,5.178571428571429,1.0,0.0071428571428571435
284,285,WAOWF,OKAN-WEN NF,BASALT PEAK,620,1261.05014419,2012,UNKNOWN,54931124.5559565,38232.7281295968,"(-121.067222, 48.732778)",2012-09-12,2012-10-06 00:00:00,72.24,48.88,60.56,60.56,5.0,0.72,0.0016
285,286,WAOWF,OKAN-WEN NF,CUITIN LAKE,656,309.12280753,2012,LIGHTNING,13465335.634722,25045.260957730603,"(-121.333333, 47.283333)",2012-09-11,2012-10-06 00:00:00,62.96153846153846,44.23076923076923,53.59615384615385,53.59615384615385,11.576923076923077,0.46153846153846156,0.0003846153846153846
286,287,WAOWF,OKAN-WEN NF,SEARS CREEK,511,656.20735759,2012,UNKNOWN,28584278.1591725,28675.810046868402,"(-121.333333, 47.283333)",2012-09-09,2012-10-06 00:00:00,62.0,43.964285714285715,52.982142857142854,52.982142857142854,12.178571428571429,0.42857142857142855,0.02142857142857143
287,288,WAOWF,OKAN-WEN NF,PEAVINE CANYON,482,19997.98138104,2012,LIGHTNING,871108584.513459,238886.544469357,"(-121.333333, 47.283333)",2012-09-08,2012-10-06 00:00:00,62.44827586206897,44.241379310344826,53.3448275862069,53.3448275862069,11.793103448275861,0.41379310344827586,0.021724137931034483
288,289,WASPS,WA DNR - SPS REGION,POWERLINE #2,066,229.4779795,2012,ARSON,9996020.8028215,19724.5705054701,"(-122.900696, 47.037872)",2012-10-04,2012-10-06 00:00:00,71.33333333333333,28.333333333333332,49.833333333333336,49.833333333333336,15.0,0.0,0.0
289,290,WAOWF,OKAN-WEN NF,TABLE MOUNTAIN FIRE,642,42481.23861478,2012,LIGHTNING,1850475352.13611,324172.53057221405,"(-121.333333, 47.283333)",2012-09-15,2012-10-06 00:00:00,62.77272727272727,44.63636363636363,53.70454545454545,53.70454545454545,11.545454545454545,0.5454545454545454,0.00045454545454545455
290,291,WACOA,COLVILLE AGENCY,ST MARY'S MISSION ROAD,012198,16853.18303864,2012,UNKNOWN,734121716.667537,273642.706281212,"(-121.067222, 48.732778)",2012-10-02,2012-10-10 00:00:00,66.88888888888889,43.77777777777778,55.333333333333336,55.333333333333336,9.333333333333334,0.0,0.0044444444444444444
291,292,WAGPF,GIFFORD PINCHOT NF,CASCADE CREEK,563,20096.32065296,2012,LIGHTNING,875392226.06359,293816.22062012105,"(-121.67333064, 46.602330924)",2012-09-09,2012-10-07 00:00:00,72.3103448275862,42.3448275862069,57.327586206896555,57.327586206896555,7.344827586206897,0.0,0.008275862068965517
292,293,WACOF,COLVILLE NF,RADIO,1010,190.95832857,2012,LIGHTNING,8318111.51982,12094.970044418998,"(-121.067222, 48.732778)",2012-09-11,2012-10-01 00:00:00,73.57142857142857,50.19047619047619,61.88095238095238,61.88095238095238,3.8095238095238093,0.8571428571428571,0.0009523809523809524
293,294,WAGPF,GIFFORD PINCHOT NF,SOUTH POINT,628,336.81498277,2012,UNKNOWN,14671601.9627555,18678.747912587503,"(-121.67333064, 46.602330924)",2012-09-19,2012-10-09 00:00:00,70.42857142857143,40.285714285714285,55.357142857142854,55.357142857142854,9.380952380952381,0.0,0.0009523809523809524
294,295,WASES,WA DNR - SE REGION,FOSTER CREEK,0184,1294.12726798,2012,LIGHTNING,56371958.304801,62912.339158508104,"(-121.067222, 48.732778)",2012-07-12,2012-07-16 00:00:00,76.4,56.6,66.5,66.5,1.2,3.0,0.08
296,297,WASES,WA DNR - SE REGION,LITTTLE PARKE CREEK,433,692.94103598,2012,RECREATION,30184390.7894085,37334.4695672318,"(-121.333333, 47.283333)",2012-09-05,2012-09-07 00:00:00,71.66666666666667,51.0,61.333333333333336,61.333333333333336,3.6666666666666665,0.0,0.0
297,298,WACOA,COLVILLE AGENCY,METEOR,048,210.58514453,2012,UNKNOWN,9173052.203618,13425.5041305796,"(-121.067222, 48.732778)",2012-04-11,2012-11-19 00:00:00,66.61434977578476,47.219730941704036,56.917040358744394,56.917040358744394,9.20627802690583,1.3542600896860986,0.12094170403587445
298,299,WACOA,COLVILLE AGENCY,SOUTH OMAK LAKE,106,1002.99843724,2012,UNKNOWN,43690437.163767,53397.7662716067,"(-121.067222, 48.732778)",2012-07-13,2012-11-19 00:00:00,68.43076923076923,49.03846153846154,58.73461538461538,58.73461538461538,8.092307692307692,2.0538461538461537,0.14992307692307688
299,300,WAYAA,BIA - YAKIMA,NORTH AHTANUM,118,1661.10995281,2012,UNKNOWN,72357660.11306,45683.1439795528,"(-121.333333, 47.283333)",2012-08-31,2012-09-02 00:00:00,58.666666666666664,41.333333333333336,50.0,50.0,14.666666666666666,0.0,0.0
300,301,WASPD,SPOKANE BLM,CACHE BUTTE,50156,470.30298593,2012,UNKNOWN,20486316.1214105,19173.0913292003,"(-121.067222, 48.732778)",2012-07-10,2012-07-10 00:00:00,83.0,53.0,68.0,68.0,0.0,3.0,0.01
301,302,WASPD,SPOKANE BLM,CRANE ROAD,302,11131.87513842,2012,UNKNOWN,484902541.413719,128842.657439834,"(-121.067222, 48.732778)",2012-08-01,2012-08-01 00:00:00,77.0,54.0,65.5,65.5,0.0,1.0,0.0
302,303,WASPD,SPOKANE BLM,WASHOUT,50111,595.70041073,2012,UNKNOWN,25948606.0968205,42328.7593999112,"(-121.333333, 47.283333)",2012-06-30,2012-06-30 00:00:00,62.0,50.0,56.0,56.0,9.0,0.0,0.23
303,304,WAGPF,GIFFORD PINCHOT NF,COLD SPRINGS,005,7982.99113452,2008,LIGHTNING,347737702.864645,102604.89033122,"(-121.67333064, 46.602330924)",2008-07-12,2008-07-20 00:00:00,82.85714285714286,51.142857142857146,67.0,67.0,0.7142857142857143,3.0,0.0
305,306,WASPS,WA DNR - SPS REGION,CALIFORNIA RD,UNKNOWN,0.40223456,2011,UNKNOWN,17521.2671365,807.222178912007,"(-123.25, 47.474664)",2011-08-14,2011-08-14 00:00:00,69.0,53.0,61.0,61.0,4.0,0.0,0.0
306,307,WAWFS,WA FIRE SERVICE,BELL PLAIN,UNKNOWN,3951.88057295,2011,UNKNOWN,172143229.18253,159420.425074094,"(-121.333333, 47.283333)",2011-09-05,2011-09-05 00:00:00,73.0,55.0,64.0,64.0,1.0,0.0,0.0
307,308,WAOWF,OKAN-WEN NF,CAMELS HUMP,362,116.58766848,2008,MISCELLANEOUS,5078538.5247465,11813.720123089399,"(-121.067222, 48.732778)",2008-07-24,2008-07-31 00:00:00,72.25,53.5,62.875,62.875,3.5,1.625,0.015
308,309,WANES,WA DNR - NE REGION,CAYUSE,358,1744.23240162,2008,DEBRIS BURN,75978459.5,48770.6465471348,"(-121.067222, 48.732778)",2008-07-09,2008-07-13 00:00:00,82.2,52.0,67.1,67.1,1.2,3.4,0.0
309,310,ORCGF,COLUMBIA RG NSA,MARYHILL,016,801.310141,2006,MISCELLANEOUS,34904930.121678,40590.7503536199,"(-121.67333064, 46.602330924)",2006-06-18,2006-06-19 00:00:00,64.0,47.0,55.5,55.5,9.5,0.0,0.0
310,311,WANES,WA DNR - NE REGION,GATEWAY LANE,196,113.23336596,2006,EQUIPMENT USE,4932425.6913785,23223.2749354103,"(-121.067222, 48.732778)",2006-07-15,2006-07-15 00:00:00,79.0,54.0,66.5,66.5,0.0,2.0,0.0
311,312,WASPD,SPOKANE BLM,BADGER HOLLOW,UNKNOWN,7384.36203656,2006,UNKNOWN,321661523.662489,80649.21560627861,"(-121.333333, 47.283333)",2006-08-01,2006-08-01 00:00:00,62.0,45.0,53.5,53.5,11.0,0.0,0.0
312,313,WASPD,SPOKANE BLM,WELCH ROAD,UNKNOWN,2570.95243167,2006,UNKNOWN,111990239.961165,61496.0063147114,"(-121.333333, 47.283333)",2006-08-01,2006-08-01 00:00:00,62.0,45.0,53.5,53.5,11.0,0.0,0.0
313,314,WACOA,COLVILLE AGENCY,CAMERON LAKE ROAD,UNKNOWN,1568.08507291,2006,EQUIPMENT USE,68305512.553117,43658.0110875763,"(-121.067222, 48.732778)",2006-08-22,2006-08-22 00:00:00,90.0,60.0,75.0,75.0,0.0,10.0,0.0
314,315,WACOA,COLVILLE AGENCY,SWAWILLA BASIN,UNKNOWN,81.54705117,2006,ARSON,3552175.3401825,9632.12060936808,"(-121.067222, 48.732778)",2006-07-14,2006-07-14 00:00:00,73.0,54.0,63.5,63.5,1.0,0.0,0.05
315,316,WANES,WA DNR - NE REGION,FRUIT HILL,258,115.56873834,2006,ARSON,5034154.105259,16502.174647606502,"(-121.067222, 48.732778)",2006-07-29,2006-07-29 00:00:00,78.0,56.0,67.0,67.0,0.0,2.0,0.0
316,317,WASES,WA DNR - SE REGION,PALOUSE RIVER,707,654.42068351,2006,UNKNOWN,28506450.9476135,49537.6751398438,"(-121.333333, 47.283333)",2006-08-23,2006-08-23 00:00:00,59.0,46.0,52.5,52.5,12.0,0.0,0.05
317,318,WASPS,WA DNR - SPS REGION,CARBON COPY,062,276.96980421,2006,UNKNOWN,12064756.412296,17137.0775564233,"(-121.93, 47.140833)",2006-08-20,2006-08-31 00:00:00,74.75,51.25,63.0,63.0,3.6666666666666665,2.0,0.009166666666666667
318,319,WAOWF,OKAN-WEN NF,TRINITY,521,3.53739765,2004,LIGHTNING,154088.4254855,1653.87029066276,"(-121.067222, 48.732778)",2004-07-22,2004-07-23 00:00:00,88.5,58.0,73.25,73.25,0.0,8.5,0.0
319,320,WAYAA,BIA - YAKIMA,SPRING CREEK,006,707.44859209,2004,DEBRIS BURN,30816337.4055735,29593.3465171317,"(-121.67333064, 46.602330924)",2004-04-27,2004-04-30 00:00:00,72.25,37.0,54.625,54.625,10.25,0.0,0.0275
320,321,WAMSF,MT. BAKER-SNOQ NF,FATHERS DAY,UNKNOWN,20.49742216,2004,UNKNOWN,892864.1378035,3732.01542726777,"(-121.726906, 46.879967)",2004-06-19,2004-06-19 00:00:00,62.0,49.0,55.5,55.5,9.0,0.0,0.0
321,322,WAMSF,MT. BAKER-SNOQ NF,SWIFT CREEK,121,172.9171597,2004,LIGHTNING,7532241.347672,12026.028268649801,"(-121.6906957, 48.64928525)",2004-07-17,2004-07-27 00:00:00,83.72727272727273,54.0,68.86363636363636,68.86363636363636,0.2727272727272727,4.363636363636363,0.006363636363636364
322,323,WAMSF,MT. BAKER-SNOQ NF,SURVEY POINT,UNKNOWN,68.18345872,2004,LIGHTNING,2970059.581655,6862.117989405981,"(-121.6906957, 48.64928525)",2004-08-14,2004-08-21 00:00:00,81.625,56.0,68.8125,68.8125,0.0,4.25,0.19625
323,324,WAOWF,OKAN-WEN NF,GLORY MOUNTAIN,080,928.73202986,2001,UNKNOWN,40455405.398642,25815.6412143267,"(-121.067222, 48.732778)",2001-08-01,2001-08-01 00:00:00,71.0,52.0,61.5,61.5,3.0,0.0,0.0
324,325,WAOWF,OKAN-WEN NF,SWEETGRASS,031,181.31183649,2003,UNKNOWN,7897912.005942,13649.151681170799,"(-121.067222, 48.732778)",2003-08-01,2003-08-01 00:00:00,88.0,58.0,73.0,73.0,0.0,8.0,0.0
325,326,WACOF,COLVILLE NF,TOGO,035,5218.37220836,2003,UNKNOWN,227311384.147734,98106.4292992838,"(-121.067222, 48.732778)",2003-08-01,2003-08-01 00:00:00,88.0,58.0,73.0,73.0,0.0,8.0,0.0
326,327,WAOWF,OKAN-WEN NF,WILCOX,081,440.55194383,2003,UNKNOWN,19190365.9116385,32278.8284474973,"(-121.067222, 48.732778)",2003-08-01,2003-08-01 00:00:00,88.0,58.0,73.0,73.0,0.0,8.0,0.0
327,328,WAOWF,OKAN-WEN NF,MIDDLE QUARTZ MT,028,7402.71028141,2002,UNKNOWN,322460770.010974,204799.39771846202,"(-121.067222, 48.732778)",2002-08-01,2002-08-01 00:00:00,74.0,49.0,61.5,61.5,3.0,0.0,0.0
328,329,WAOWF,OKAN-WEN NF,QUARTZ MT,030,4208.26808036,2002,UNKNOWN,183311424.332799,104080.961932428,"(-121.067222, 48.732778)",2002-08-01,2002-08-01 00:00:00,74.0,49.0,61.5,61.5,3.0,0.0,0.0
329,330,WA,UNKNOWN,ICICLE COMPLEX,UNKNOWN,8006.07151715,2001,LIGHTNING,348743080.310618,156012.787038909,"(-121.333333, 47.283333)",2001-08-14,2001-08-21 00:00:00,64.125,47.75,55.9375,55.9375,9.5,0.75,0.015
330,331,WANES,WA DNR - NE REGION,MARSHALL,326,384.39492287,2007,UNKNOWN,16744175.8635,42410.6582352534,"(-121.067222, 48.732778)",2007-08-11,2007-08-11 00:00:00,73.0,51.0,62.0,62.0,3.0,0.0,0.0
331,332,WASES,WA DNR - SE REGION,ELLENSBURG PASS,649,452.8422728,2007,UNKNOWN,19725730.5,19542.0393007018,"(-121.333333, 47.283333)",2007-09-10,2007-09-10 00:00:00,74.0,47.0,60.5,60.5,4.0,0.0,0.0
332,333,WACOF,COLVILLE NF,MT LEONA,015,4895.29859926,2001,UNKNOWN,213238354.027657,84286.5223349219,"(-121.067222, 48.732778)",2001-08-01,2001-08-01 00:00:00,71.0,52.0,61.5,61.5,3.0,0.0,0.0
333,334,WACOA,COLVILLE AGENCY,SIX MILE 2,180,4.82819487,2013,UNKNOWN,210315.3273065,1835.63813972016,"(-121.067222, 48.732778)",2013-08-10,2013-08-10 00:00:00,93.0,61.0,77.0,77.0,0.0,12.0,0.35
334,335,WACOA,COLVILLE AGENCY,WHITMORE SOUTH,180,169.38386422,2013,LIGHTNING,7378331.612136,11175.9192665344,"(-121.067222, 48.732778)",2013-08-10,2013-08-10 00:00:00,93.0,61.0,77.0,77.0,0.0,12.0,0.35
335,336,WACOA,COLVILLE AGENCY,SIX MILE,180,247.61426584,2013,LIGHTNING,10786034.2758085,14418.5463416696,"(-121.067222, 48.732778)",2013-08-10,2013-08-10 00:00:00,93.0,61.0,77.0,77.0,0.0,12.0,0.35
336,337,WACOA,COLVILLE AGENCY,WHITMORE 3,180,4.98456802,2013,LIGHTNING,217126.91465,1950.40465231754,"(-121.067222, 48.732778)",2013-08-10,2013-08-10 00:00:00,93.0,61.0,77.0,77.0,0.0,12.0,0.35
337,338,WANES,WA DNR - NE REGION,LITTLE CHOPAKA,160,4428.34102028,2007,MISCELLANEOUS,192897763.25,61918.763772335304,"(-121.067222, 48.732778)",2007-07-07,2007-07-11 00:00:00,84.6,56.6,70.6,70.6,0.0,5.8,0.0
338,339,WAWFS,WA FIRE SERVICE,EASY STREET,236,5208.62754937,2007,MISCELLANEOUS,226886908.5,73626.36040792191,"(-121.333333, 47.283333)",2007-07-07,2007-07-07 00:00:00,67.0,47.0,57.0,57.0,8.0,0.0,0.0
339,340,WAOWF,OKAN-WEN NF,CROW CREEK,408,83.0082751,2007,UNKNOWN,3615826.0,13815.3651213712,"(-121.333333, 47.283333)",2007-08-02,2007-08-04 00:00:00,64.0,48.0,56.0,56.0,8.666666666666666,0.0,0.0
340,341,WASPD,SPOKANE BLM,DOUGLAS CREEK,006,3156.02448129,2007,FIREWORKS,137475876.5,48733.5752469511,"(-121.333333, 47.283333)",2007-07-09,2007-07-10 00:00:00,78.5,54.0,66.25,66.25,2.5,4.0,0.0
341,342,WANES,WA DNR - NE REGION,TUNK GRADE,215,16498.06617585,2007,LIGHTNING,718652888.0,142982.08694422,"(-121.067222, 48.732778)",2007-07-14,2007-07-17 00:00:00,84.5,59.0,71.75,71.75,0.0,7.0,0.005
342,343,WAWFS,WA FIRE SERVICE,LES BLAIR,2399,7037.32239857,2007,UNKNOWN,306544537.5,72135.29011307331,"(-121.333333, 47.283333)",2007-07-30,2007-08-01 00:00:00,69.0,46.333333333333336,57.666666666666664,57.666666666666664,7.666666666666667,0.6666666666666666,0.0
343,344,WASES,WA DNR - SE REGION,BEASLEY HILL,806,85.71552881,2007,UNKNOWN,3733753.5,8455.76579799213,"(-121.333333, 47.283333)",2007-08-14,2007-08-14 00:00:00,77.0,55.0,66.0,66.0,0.0,1.0,0.0
344,345,WACOF,COLVILLE NF,PEND D'OREILLE,194,9730.19778533,2007,LIGHTNING,423845720.141072,133743.061183812,"(-121.067222, 48.732778)",2007-08-11,2007-08-18 00:00:00,79.25,54.375,66.8125,66.8125,1.125,3.0,0.00125
345,346,WANCP,NORTH CASCADES NP,TOLO,112,293.17027851,2007,LIGHTNING,12770446.25,20220.8962758129,"(-121.067222, 48.732778)",2007-07-15,2007-08-16 00:00:00,78.39393939393939,55.24242424242424,66.81818181818181,66.81818181818181,1.0303030303030303,3.090909090909091,0.03696969696969697
346,347,WAMCR,MID COLUMBIA NWR,WAUTOMA,070084,67291.4018444,2007,MISCELLANEOUS,2931201739.5,320300.44766484,"(-121.333333, 47.283333)",2007-08-16,2007-08-17 00:00:00,61.0,45.0,53.0,53.0,11.5,0.0,0.0
347,348,WA,UNKNOWN,BLACK ROCK,808,32139.34579784,2007,UNKNOWN,1399984303.0,176767.73236651902,"(-121.333333, 47.283333)",2007-08-31,2007-09-01 00:00:00,63.0,46.0,54.5,54.5,10.0,0.0,0.0
348,349,WA,UNKNOWN,MILEPOST 17,70082,6452.10503245,2007,MISCELLANEOUS,281052571.0,92282.3381920601,"(-121.333333, 47.283333)",2007-08-13,2007-09-07 00:00:00,63.26923076923077,47.65384615384615,55.46153846153846,55.46153846153846,9.576923076923077,0.2692307692307692,0.04846153846153846
349,350,WAWFS,WA FIRE SERVICE,HORSE HEAVEN COMPLEX - MCBEE,802,3097.28286821,2007,LIGHTNING,134917102.069,87691.43182052301,"(-121.333333, 47.283333)",2007-07-13,2007-07-15 00:00:00,71.33333333333333,53.333333333333336,62.333333333333336,62.333333333333336,2.3333333333333335,0.0,0.02666666666666667
